LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES,LYLTY_CARD_NBR,TXN_ID,TXN_PER_CUSTOMER,TOTAL_UNITS,UNITS_PER_TXN,AVG_PRICE_PER_UNIT
MIDAGE SINGLES/COUPLES,Budget,35514.8,1504,5020,3.3377659574468086,9496,1.8916334661354581,3.7399747262005056
MIDAGE SINGLES/COUPLES,Mainstream,90803.85,3340,11874,3.5550898203592816,22699,1.9116557183762843,4.000345830212785
MIDAGE SINGLES/COUPLES,Premium,58432.65,2431,8216,3.379679144385027,15526,1.8897273612463485,3.7635353600412214
NEW FAMILIES,Budget,21928.45,1112,3005,2.702338129496403,5571,1.853910149750416,3.936178423981332
NEW FAMILIES,Mainstream,17013.9,849,2325,2.7385159010600706,4319,1.8576344086021506,3.93931465617041
NEW FAMILIES,Premium,11491.1,588,1589,2.7023809523809526,2957,1.8609188168659534,3.8860669597565103
OLDER FAMILIES,Budget,168363.25,4675,23160,4.954010695187166,45065,1.9458117443868739,3.7360090979695997
OLDER FAMILIES,Mainstream,103445.55,2831,14244,5.031437654539032,27756,1.9486099410278013,3.7269617380025943
OLDER FAMILIES,Premium,80658.4,2273,11190,4.923009238891333,21771,1.9455764075067024,3.704855082449129
OLDER SINGLES/COUPLES,Budget,136769.8,4929,18407,3.7344288902414284,35220,1.9134025099147063,3.8832992617830775
OLDER SINGLES/COUPLES,Mainstream,133393.8,4930,18318,3.7156186612576065,34997,1.9105251665028933,3.811578135268737
OLDER SINGLES/COUPLES,Premium,132263.15,4750,17754,3.7376842105263157,33986,1.9142728399233975,3.891695109751074
RETIREES,Budget,113147.8,4454,15201,3.412887292321509,28764,1.8922439313203079,3.9336601307189545
RETIREES,Mainstream,155677.05,6479,21466,3.313165611977157,40518,1.8875430914003541,3.8421701466015103
RETIREES,Premium,97646.05,3872,13096,3.3822314049586777,24884,1.9001221747098351,3.924049590098055
YOUNG FAMILIES,Budget,139345.85,4017,19122,4.760268857356236,37111,1.9407488756406233,3.754839535447711
YOUNG FAMILIES,Mainstream,92788.75,2728,12907,4.7313049853372435,25044,1.9403424498334236,3.705029148698291
YOUNG FAMILIES,Premium,84025.5,2433,11563,4.752568845047267,22406,1.937732422381735,3.7501338927073107
YOUNG SINGLES/COUPLES,Budget,61141.6,3779,9242,2.4456205345329454,16671,1.8038303397533002,3.6675424389658686
YOUNG SINGLES/COUPLES,Mainstream,157621.6,8088,20854,2.5783877349159248,38632,1.8524983216649085,4.0800786912404226
YOUNG SINGLES/COUPLES,Premium,41642.1,2574,6281,2.4401709401709404,11331,1.804012099984079,3.6750595710881653
